title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
A Woman of No Importance,Oscar Wilde,English,04/12/23,,,"Wilde's witty play exposes Victorian hypocrisy through the story of an unwed mother and the son who unknowingly becomes involved with his father, blending epigrams with emotional drama.","Wilde's witty play exposes Victorian hypocrisy through the story of an unwed mother and the son who unknowingly becomes involved with his father, blending epigrams with emotional drama.",,"England, Victorian era","Lord Illingworth,Mrs. Arbuthnot",,digital
A Woman of Thirty,Honoré de Balzac,French,04/12/23,,,"Balzac's psychological novel follows a woman's transformation from innocent girl to disillusioned wife to mature woman during the Restoration, offering a penetrating study of female experience in 19th century France.","Balzac's psychological novel follows a woman's transformation from innocent girl to disillusioned wife to mature woman during the Restoration, offering a penetrating study of female experience in 19th century France.",,"France, early 19th century",Julie d'Aiglemont,,digital
Acharnians,Aristophanes,Greek,04/12/23,,,"Aristophanes' oldest surviving comedy follows an Athenian farmer who negotiates a personal peace treaty with Sparta during the Peloponnesian War, creating a bawdy antiwar satire that won first prize at the Lenaia festival.","Aristophanes' oldest surviving comedy follows an Athenian farmer who negotiates a personal peace treaty with Sparta during the Peloponnesian War, creating a bawdy antiwar satire that won first prize at the Lenaia festival.",,"Ancient Athens, during the Peloponnesian War",Dikaiopolis,,digital
Adam Bede,George Eliot,English,04/12/23,,,"George Eliot's first novel explores love and moral choice in rural England when a carpenter falls for a pretty dairymaid who is seduced by a local squire, creating a sympathetic portrayal of ordinary life and ethical consequences.","George Eliot's first novel explores love and moral choice in rural England when a carpenter falls for a pretty dairymaid who is seduced by a local squire, creating a sympathetic portrayal of ordinary life and ethical consequences.",,"Rural England, early 19th century","Adam Bede,Hetty Sorrel",,digital
Adolphe,Benjamin Constant,French,04/12/23,,,"Constant's influential psychological novel follows a young man who pursues a passionate affair only to find his feelings fade while his lover's intensify, creating a piercing study of romantic disillusionment.","Constant's influential psychological novel follows a young man who pursues a passionate affair only to find his feelings fade while his lover's intensify, creating a piercing study of romantic disillusionment.",,"Switzerland and Germany, early 19th century","Adolphe,Ellénore",,digital
Adventures of Huckleberry Finn,Mark Twain,English,04/12/23,,," Mark Twain's masterpiece follows a runaway boy and an escaped slave on a transformative journey down the Mississippi. This quintessential American novel combines adventure, social satire, and powerful moral awakening as Huck confronts his conscience."," Mark Twain's masterpiece follows a runaway boy and an escaped slave on a transformative journey down the Mississippi. This quintessential American novel combines adventure, social satire, and powerful moral awakening as Huck confronts his conscience.",,"Mississippi River, pre-Civil War America","Huckleberry Finn,Jim",,digital
Ajax,Sophocles,Greek,04/12/23,,, Sophocles' tragedy portrays a great warrior's descent into madness after being denied rightful recognition. This powerful exploration of wounded pride and honor examines how even heroes can be destroyed by their own rigid principles., Sophocles' tragedy portrays a great warrior's descent into madness after being denied rightful recognition. This powerful exploration of wounded pride and honor examines how even heroes can be destroyed by their own rigid principles.,,"Ancient Troy, after the Trojan War",Ajax,,digital
Alice's Adventures in Wonderland,Lewis Carroll,English,04/12/23,,," Lewis Carroll's beloved fantasy takes readers on a surreal journey through a world of bewildering logic and unforgettable characters. This imaginative masterpiece continues to delight with its playful language, satirical wit, and dream-like absurdity."," Lewis Carroll's beloved fantasy takes readers on a surreal journey through a world of bewildering logic and unforgettable characters. This imaginative masterpiece continues to delight with its playful language, satirical wit, and dream-like absurdity.",,Victorian England and fantasy Wonderland,"Alice,White Rabbit",,digital
All's Well That Ends Well,William Shakespeare,English,04/12/23,,," Shakespeare's problem play follows determined Helena as she pursues the reluctant Bertram through schemes and deceptions. This complex comedy challenges fairy tale conventions while exploring themes of social class, persistence, and the true nature of worth."," Shakespeare's problem play follows determined Helena as she pursues the reluctant Bertram through schemes and deceptions. This complex comedy challenges fairy tale conventions while exploring themes of social class, persistence, and the true nature of worth.",,"France and Italy, medieval period","Helena,Bertram",,digital
Amelia,Henry Fielding,English,04/12/23,,, Henry Fielding's final novel portrays a virtuous marriage tested by financial hardship and societal corruption. This compassionate examination of domestic life offers sharp criticism of 18th century England's legal system and moral hypocrisy., Henry Fielding's final novel portrays a virtuous marriage tested by financial hardship and societal corruption. This compassionate examination of domestic life offers sharp criticism of 18th century England's legal system and moral hypocrisy.,,"London, 18th century","Amelia Booth,Captain Booth",,digital
An American Tragedy,Theodore Dreiser,English,04/12/23,,, Theodore Dreiser's monumental novel traces an ambitious young man's fatal pursuit of wealth and social status. This unflinching portrayal of American capitalism exposes the dark underside of the American dream through one man's moral disintegration., Theodore Dreiser's monumental novel traces an ambitious young man's fatal pursuit of wealth and social status. This unflinching portrayal of American capitalism exposes the dark underside of the American dream through one man's moral disintegration.,,"New York state, early 20th century","Clyde Griffiths,Roberta Alden",,digital
An Ideal Husband,Oscar Wilde,English,04/12/23,,," Oscar Wilde's sparkling comedy examines political corruption, public reputation, and private forgiveness. This witty exploration of marriage and integrity demonstrates that human imperfection can coexist with true love."," Oscar Wilde's sparkling comedy examines political corruption, public reputation, and private forgiveness. This witty exploration of marriage and integrity demonstrates that human imperfection can coexist with true love.",,"London, late Victorian era","Sir Robert Chiltern,Lady Chiltern",,digital
Andromache,Jean Racine,French,04/12/23,,, Racine's neoclassical tragedy portrays the widow of Trojan hero Hector caught in a deadly political triangle. This elegant exploration of impossible love and dynastic obligation showcases the devastating aftermath of the Trojan War., Racine's neoclassical tragedy portrays the widow of Trojan hero Hector caught in a deadly political triangle. This elegant exploration of impossible love and dynastic obligation showcases the devastating aftermath of the Trojan War.,,"Ancient Greece, after the Trojan War","Andromache,Hermione",,digital
Anna Karenina,Leo Tolstoy,Russian,04/12/23,,," Tolstoy's masterpiece traces a passionate woman's tragic affair against the backdrop of Russian high society. This profound exploration of love, marriage, and social convention remains one of literature's most psychologically complex portraits of human relationships."," Tolstoy's masterpiece traces a passionate woman's tragic affair against the backdrop of Russian high society. This profound exploration of love, marriage, and social convention remains one of literature's most psychologically complex portraits of human relationships.",,"Imperial Russia, 1870s","Anna Karenina,Count Vronsky",,digital
Anne of Green Gables,Lucy Maud Montgomery,English,04/12/23,,," L.M. Montgomery's beloved novel follows spirited orphan Anne Shirley as she transforms a quiet Canadian community with her imagination. This charming coming-of-age story celebrates found family, female friendship, and the power of optimism."," L.M. Montgomery's beloved novel follows spirited orphan Anne Shirley as she transforms a quiet Canadian community with her imagination. This charming coming-of-age story celebrates found family, female friendship, and the power of optimism.",,"Prince Edward Island, Canada, late 19th to early 20th century","Anne Shirley,Marilla Cuthbert",,digital
Antigone,Sophocles,Greek,04/12/23,,, Sophocles' timeless tragedy pits a defiant young woman against the state in a conflict of divine versus human law. This powerful exploration of individual conscience versus political authority continues to resonate as a profound meditation on justice., Sophocles' timeless tragedy pits a defiant young woman against the state in a conflict of divine versus human law. This powerful exploration of individual conscience versus political authority continues to resonate as a profound meditation on justice.,,"Ancient Thebes, mythological era","Antigone,Creon",,digital
Antony and Cleopatra,William Shakespeare,English,04/12/23,,, Shakespeare's tragic love story portrays the passionate relationship between Rome's greatest general and Egypt's seductive queen. This sweeping political drama explores how personal desire collides catastrophically with imperial ambition., Shakespeare's tragic love story portrays the passionate relationship between Rome's greatest general and Egypt's seductive queen. This sweeping political drama explores how personal desire collides catastrophically with imperial ambition.,,"Egypt and Rome, 30-31 BCE","Mark Antony,Cleopatra",,digital
Arcadia,Tom Stoppard,English,04/12/23,,," Tom Stoppard's brilliant play weaves together two time periods to explore chaos theory, romantic poetry, and the nature of knowledge. This intellectual detective story delights with its witty dialogue while poignantly examining how we make meaning from fragments of the past."," Tom Stoppard's brilliant play weaves together two time periods to explore chaos theory, romantic poetry, and the nature of knowledge. This intellectual detective story delights with its witty dialogue while poignantly examining how we make meaning from fragments of the past.",,"English country house, with scenes alternating between 1809 and present day","Thomasina Coverly,Septimus Hodge",,digital
Armance,Stendhal,French,04/12/23,,, Stendhal's first novel portrays a young aristocrat hiding a secret that prevents him from pursuing love. This psychologically astute tale of thwarted passion offers sharp observations on post-Napoleonic French society., Stendhal's first novel portrays a young aristocrat hiding a secret that prevents him from pursuing love. This psychologically astute tale of thwarted passion offers sharp observations on post-Napoleonic French society.,,"France, Restoration period (1820s)","Octave de Malivert,Armance de Zohiloff",,digital
Around the World in Eighty Days,Jules Verne,French,04/12/23,,, Jules Verne's classic adventure novel races alongside precise Englishman Phileas Fogg on his globe-circling wager. This thrilling celebration of the industrial age combines exotic locations with split-second timing and unexpected romance., Jules Verne's classic adventure novel races alongside precise Englishman Phileas Fogg on his globe-circling wager. This thrilling celebration of the industrial age combines exotic locations with split-second timing and unexpected romance.,,"Global journey, 1872","Phileas Fogg,Passepartout",,digital
Arria Marcella,Théophile Gautier,French,04/12/23,,, Théophile Gautier's haunting fantasy follows a young man's obsession with a woman who died in Pompeii's eruption. This atmospheric tale explores the border between archaeological fascination and necrophiliac desire., Théophile Gautier's haunting fantasy follows a young man's obsession with a woman who died in Pompeii's eruption. This atmospheric tale explores the border between archaeological fascination and necrophiliac desire.,,Pompeii (ancient and 19th century),Octavien,,digital
As You Like It,William Shakespeare,English,04/12/23,,, Shakespeare's joyous comedy transports characters from court intrigue to the magical Forest of Arden. This romantic romp features one of Shakespeare's most delightful heroines alongside some of his most famous speeches on life's fleeting nature., Shakespeare's joyous comedy transports characters from court intrigue to the magical Forest of Arden. This romantic romp features one of Shakespeare's most delightful heroines alongside some of his most famous speeches on life's fleeting nature.,,"Court and Forest of Arden, Renaissance France","Rosalind,Orlando",,digital
Aslauga's Knight,Friedrich de la Motte Fouqué,German,04/12/23,,, Friedrich de la Motte Fouqué's medieval romance follows a knight devoted to the spirit of a beautiful Norse queen. This dreamy tale of chivalric devotion explores the conflict between earthly and idealized love., Friedrich de la Motte Fouqué's medieval romance follows a knight devoted to the spirit of a beautiful Norse queen. This dreamy tale of chivalric devotion explores the conflict between earthly and idealized love.,,Medieval Germany,"Froda,Aslauga",,digital
Au Bonheur des Dames,Émile Zola,French,04/12/23,,, Émile Zola's vibrant novel depicts the rise of the modern department store and its impact on traditional commerce. This captivating tale of commercial revolution combines social critique with a compelling love story between a provincial girl and a retail magnate., Émile Zola's vibrant novel depicts the rise of the modern department store and its impact on traditional commerce. This captivating tale of commercial revolution combines social critique with a compelling love story between a provincial girl and a retail magnate.,,"Paris, Second French Empire (1860s-1870s)","Denise Baudu,Octave Mouret",,digital
Aurelia,Gérard de Nerval,French,04/12/23,,, Gérard de Nerval's dreamlike narrative blurs the boundaries between madness and mystical revelation. This influential work of French romanticism takes readers on a hallucinatory journey through the author's obsessions and visions., Gérard de Nerval's dreamlike narrative blurs the boundaries between madness and mystical revelation. This influential work of French romanticism takes readers on a hallucinatory journey through the author's obsessions and visions.,,"Paris and author's imagination, mid-19th century",Narrator,,digital
Avatar,Théophile Gautier,French,04/12/23,,, Théophile Gautier's supernatural tale explores the phenomenon of consciousness transfer between bodies. This mind-bending story examines identity and desire through an occult lens that was far ahead of its time., Théophile Gautier's supernatural tale explores the phenomenon of consciousness transfer between bodies. This mind-bending story examines identity and desire through an occult lens that was far ahead of its time.,,"India, mid-19th century",Olaf,,digital
Babbitt,Sinclair Lewis,English,04/12/23,,, Sinclair Lewis's satirical novel portrays a conformist businessman struggling with middle-class American values. This cutting social commentary examines the emptiness beneath the polished surface of 1920s prosperity and conventional success., Sinclair Lewis's satirical novel portrays a conformist businessman struggling with middle-class American values. This cutting social commentary examines the emptiness beneath the polished surface of 1920s prosperity and conventional success.,,"Fictional Zenith, Midwest America, 1920s",George F. Babbitt,,digital
Bartholomew Fair,Ben Jonson,English,04/12/23,,," Ben Jonson's raucous comedy immerses audiences in the chaotic world of a London fair filled with pickpockets, prostitutes, and puppet shows. This vibrant slice of Jacobean life offers sharp satire of human folly through unforgettable characters and situations."," Ben Jonson's raucous comedy immerses audiences in the chaotic world of a London fair filled with pickpockets, prostitutes, and puppet shows. This vibrant slice of Jacobean life offers sharp satire of human folly through unforgettable characters and situations.",,"London, early 17th century","Justice Overdo,Bartholomew Cokes",,digital
Bel-Ami,Guy de Maupassant,French,04/12/23,,, Guy de Maupassant's cynical novel chronicles a charming scoundrel's rise through Parisian society by seducing influential women. This ruthless portrait of ambition reveals the corrupt underbelly of journalism and politics in Belle Époque France., Guy de Maupassant's cynical novel chronicles a charming scoundrel's rise through Parisian society by seducing influential women. This ruthless portrait of ambition reveals the corrupt underbelly of journalism and politics in Belle Époque France.,,"Paris, 1880s","Georges Duroy,Madeleine Forestier",,digital
Belinda,Maria Edgeworth,English,04/12/23,,, Maria Edgeworth's progressive novel follows a young woman navigating society's complex marriage market with intelligence and integrity. This forward-thinking examination of gender and education challenges conventional romance narratives with its rational heroine., Maria Edgeworth's progressive novel follows a young woman navigating society's complex marriage market with intelligence and integrity. This forward-thinking examination of gender and education challenges conventional romance narratives with its rational heroine.,,"England, early 19th century","Belinda Portman,Lady Delacour",,digital
Beneath the Wheel,Hermann Hesse,German,04/12/23,,, Hermann Hesse's poignant novel follows a gifted student crushed by an educational system that values conformity over creativity. This sensitive portrayal of adolescent struggle remains a powerful indictment of institutions that sacrifice individual potential., Hermann Hesse's poignant novel follows a gifted student crushed by an educational system that values conformity over creativity. This sensitive portrayal of adolescent struggle remains a powerful indictment of institutions that sacrifice individual potential.,,"Germany, early 20th century","Hans Giebenrath,Hermann Heilner",,digital
Bleak House,Charles Dickens,English,04/12/23,,," Charles Dickens' sprawling masterpiece centers on an endless legal case that destroys everyone in its orbit. This magnificent critique of Victorian society combines murder mystery, romance, and social commentary with unforgettable characters and atmospheric brilliance."," Charles Dickens' sprawling masterpiece centers on an endless legal case that destroys everyone in its orbit. This magnificent critique of Victorian society combines murder mystery, romance, and social commentary with unforgettable characters and atmospheric brilliance.",,"London, mid-19th century","Esther Summerson,Lady Dedlock",,digital
Boule de Suif,Guy de Maupassant,French,04/12/23,,, Guy de Maupassant's renowned short story exposes the hypocrisy of respectable society during the Franco-Prussian War. This masterpiece of naturalism features a prostitute whose patriotic sacrifice is repaid with contempt by her social superiors., Guy de Maupassant's renowned short story exposes the hypocrisy of respectable society during the Franco-Prussian War. This masterpiece of naturalism features a prostitute whose patriotic sacrifice is repaid with contempt by her social superiors.,,"France during Franco-Prussian War, 1870",Elisabeth Rousset (Boule de Suif),,digital
Bouvard and Pécuchet,Gustave Flaubert,French,04/12/23,,, Gustave Flaubert's satirical novel follows two clerks who retire to the countryside to pursue knowledge in every field. This encyclopedic comedy mercilessly exposes the limitations of human understanding through the friends' increasingly absurd intellectual failures., Gustave Flaubert's satirical novel follows two clerks who retire to the countryside to pursue knowledge in every field. This encyclopedic comedy mercilessly exposes the limitations of human understanding through the friends' increasingly absurd intellectual failures.,,"Normandy, France, mid-19th century","Bouvard,Pécuchet",,digital
Buddenbrooks,Thomas Mann,German,04/12/23,,, Thomas Mann's epic novel chronicles four generations of a wealthy German merchant family in decline. This masterful portrait of bourgeois life captures the inexorable forces of modernization that transform both society and individual consciousness., Thomas Mann's epic novel chronicles four generations of a wealthy German merchant family in decline. This masterful portrait of bourgeois life captures the inexorable forces of modernization that transform both society and individual consciousness.,,"Lübeck, Germany, 1835-1877","Thomas Buddenbrook,Tony Buddenbrook",,digital
Caleb Williams,William Godwin,English,04/12/23,,, William Godwin's revolutionary novel combines thrilling pursuit with radical political philosophy. This groundbreaking work exposes how class privilege and corrupt institutions conspire to destroy even the most virtuous individuals., William Godwin's revolutionary novel combines thrilling pursuit with radical political philosophy. This groundbreaking work exposes how class privilege and corrupt institutions conspire to destroy even the most virtuous individuals.,,"England, late 18th century","Caleb Williams,Ferdinando Falkland",,digital
Candide,Voltaire,French,04/12/23,,, Voltaire's satirical masterpiece follows a naïve young man through an absurd series of disasters that challenge his optimistic philosophy. This wickedly funny philosophical tale remains the perfect antidote to simplistic thinking about human suffering., Voltaire's satirical masterpiece follows a naïve young man through an absurd series of disasters that challenge his optimistic philosophy. This wickedly funny philosophical tale remains the perfect antidote to simplistic thinking about human suffering.,,"Global settings including Europe, South America, and Ottoman Empire, 18th century","Candide,Pangloss",,digital
Cape Cod,Henry David Thoreau,English,04/12/23,,, Henry David Thoreau's vivid travelogue captures the harsh beauty and unique character of Cape Cod in the mid-19th century. This thoughtful meditation on nature and human history reveals Thoreau's keen observational powers and philosophical mind., Henry David Thoreau's vivid travelogue captures the harsh beauty and unique character of Cape Cod in the mid-19th century. This thoughtful meditation on nature and human history reveals Thoreau's keen observational powers and philosophical mind.,,"Cape Cod, Massachusetts, mid-19th century",Henry David Thoreau,,digital
Captain Singleton,Daniel Defoe,English,04/12/23,,, Daniel Defoe's adventure novel follows the exploits of a pirate captain across the world's oceans. This thrilling tale of maritime crime combines realistic detail with moral complexity that questions conventional notions of justice and redemption., Daniel Defoe's adventure novel follows the exploits of a pirate captain across the world's oceans. This thrilling tale of maritime crime combines realistic detail with moral complexity that questions conventional notions of justice and redemption.,,"Africa, Asia, and pirate ships, early 18th century",Captain Bob Singleton,,digital
Captains Courageous,Rudyard Kipling,English,04/12/23,,," Rudyard Kipling's coming-of-age story transforms a spoiled rich boy through hard work aboard a Newfoundland fishing vessel. This invigorating tale of the sea celebrates the values of courage, discipline, and respect earned through honest labor."," Rudyard Kipling's coming-of-age story transforms a spoiled rich boy through hard work aboard a Newfoundland fishing vessel. This invigorating tale of the sea celebrates the values of courage, discipline, and respect earned through honest labor.",,"North Atlantic, Grand Banks fishing grounds, late 19th century","Harvey Cheyne Jr.,Captain Disko Troop",,digital
Cardenio,William Shakespeare,English,04/12/23,,, This mysterious lost play attributed to Shakespeare and Fletcher centers on a character from Don Quixote driven mad by love. This literary mystery has inspired centuries of scholarly detective work and creative reconstructions by playwrights and directors., This mysterious lost play attributed to Shakespeare and Fletcher centers on a character from Don Quixote driven mad by love. This literary mystery has inspired centuries of scholarly detective work and creative reconstructions by playwrights and directors.,,"Spain, early 17th century","Cardenio,Luscinda",,digital
Carmen,Prosper Mérimée,French,04/12/23,,, Prosper Mérimée's passionate novella introduces the ultimate femme fatale who bewitches a respectable soldier into a life of crime. This fiery tale of obsession and freedom inspired one of the world's most beloved operas while exploring the clash between conventional morality and unbridled desire., Prosper Mérimée's passionate novella introduces the ultimate femme fatale who bewitches a respectable soldier into a life of crime. This fiery tale of obsession and freedom inspired one of the world's most beloved operas while exploring the clash between conventional morality and unbridled desire.,,"Spain, 1830s","Don José,Carmen",,digital
Castle Rackrent,Maria Edgeworth,English,04/12/23,,, Maria Edgeworth's pioneering novel traces the decline of an Irish estate through the eyes of a loyal family servant. This groundbreaking work established the regional novel and offers a satirical history of Anglo-Irish landlords through multiple generations., Maria Edgeworth's pioneering novel traces the decline of an Irish estate through the eyes of a loyal family servant. This groundbreaking work established the regional novel and offers a satirical history of Anglo-Irish landlords through multiple generations.,,"Ireland, late 18th century",Thady Quirk,,digital
Clarissa,Samuel Richardson,English,04/12/23,,, Samuel Richardson's monumental epistolary novel follows a virtuous young woman persecuted by her family and a determined libertine. This psychological masterpiece explores feminine autonomy and sexual politics through letters that reveal the innermost thoughts of its complex characters., Samuel Richardson's monumental epistolary novel follows a virtuous young woman persecuted by her family and a determined libertine. This psychological masterpiece explores feminine autonomy and sexual politics through letters that reveal the innermost thoughts of its complex characters.,,"England, 18th century","Clarissa Harlowe,Robert Lovelace",,digital
Claude Gueux,Victor Hugo,French,04/12/23,,, Victor Hugo's powerful short novel uses a true crime case to condemn social injustice and argue against capital punishment. This passionate work of social criticism demonstrates how poverty and mistreatment can transform good men into criminals., Victor Hugo's powerful short novel uses a true crime case to condemn social injustice and argue against capital punishment. This passionate work of social criticism demonstrates how poverty and mistreatment can transform good men into criminals.,,"French prison, 19th century",Claude Gueux,,digital
Clotel,William Wells Brown,English,04/12/23,,, William Wells Brown's groundbreaking novel tells the tragic story of Thomas Jefferson's fictional enslaved daughter. This first novel published by an African American powerfully exposes the horrors of slavery and the hypocrisy of a nation founded on freedom., William Wells Brown's groundbreaking novel tells the tragic story of Thomas Jefferson's fictional enslaved daughter. This first novel published by an African American powerfully exposes the horrors of slavery and the hypocrisy of a nation founded on freedom.,,"United States during slavery, mid-19th century","Clotel,Horatio Green",,digital
Colomba,Prosper Mérimée,French,04/12/23,,, Prosper Mérimée's Corsican novella pits traditional blood vengeance against modern legal justice. This atmospheric tale explores how a sister's fierce determination to avenge her brother's murder threatens her surviving brother's European enlightenment., Prosper Mérimée's Corsican novella pits traditional blood vengeance against modern legal justice. This atmospheric tale explores how a sister's fierce determination to avenge her brother's murder threatens her surviving brother's European enlightenment.,,"Corsica, early 19th century","Colomba,Orso della Rebbia",,digital
Colonel Jack,Daniel Defoe,English,04/12/23,,," Daniel Defoe's gritty novel follows an orphan's rise from pickpocket to plantation owner in a ruthless world. This unflinching portrait of criminal life offers surprising insights into class, commerce, and colonial America."," Daniel Defoe's gritty novel follows an orphan's rise from pickpocket to plantation owner in a ruthless world. This unflinching portrait of criminal life offers surprising insights into class, commerce, and colonial America.",,"England and American colonies, early 18th century",Colonel Jack,,digital
Corinne or Italy,Germaine de Staël,French,04/12/23,,, Madame de Staël's influential romantic novel features a brilliant female poet torn between artistic freedom and conventional womanhood. This revolutionary work celebrates feminine genius while exploring the tension between northern and southern European cultures., Madame de Staël's influential romantic novel features a brilliant female poet torn between artistic freedom and conventional womanhood. This revolutionary work celebrates feminine genius while exploring the tension between northern and southern European cultures.,,"Italy and England, early 19th century","Corinne,Lord Nelvil",,digital
